"Nom du problème","Type de problème","Priorité du problème","URL","% du total","Description","Comment corriger","URL d'aide"
"Title des pages: Doublon","Opportunité","Moyenne","20","12,900","Pages dont les titres sont dupliqués. Il est très important de disposer de titres de page distincts et uniques pour chaque page. Si toutes les pages ont le même titre, il peut être plus difficile pour les utilisateurs et les moteurs de recherche de distinguer une page d'une autre.","Mettez à jour les doublons de titre de page si nécessaire, afin que chaque page contienne un titre unique et descriptif pour les utilisateurs et les moteurs de recherche. S'il s'agit de doublons de page, corrigez-les en créant un lien vers une version unique et effectuez une redirection ou utilisez des versions canoniques le cas échéant.",""
"Contenu: Lisibilité difficile","Opportunité","Faible","33","18,230","Le contenu de la page est difficile à lire et plus adapté aux lycéens diplômés selon la formule du score de lisibilité de Flesch. Il contient des phrases longues avec des mots complexes qui sont généralement plus difficiles à lire et à comprendre.","Pensez à améliorer la lisibilité du contenu pour votre audience cible. Un contenu avec des phrases plus courtes et des mots moins complexes est souvent plus facile à lire et à comprendre.",""
"H2: Manquant","Avertissement","Faible","92","59,350","Pages dont le <h2> est manquant, dont le contenu est vide ou qui ont un espace blanc. Les sous-titres <h2> sont souvent utilisés pour décrire des sections ou des sujets dans un document. Ils servent de repères pour l'utilisateur et peuvent aider les moteurs de recherche à comprendre la page.","Envisagez d'utiliser des <h2> logiques et descriptifs sur les pages importantes, qui aident l'utilisateur et les moteurs de recherche à mieux comprendre la page.",""
"Codes de réponse: Externes, pas de réponse","Avertissement","Faible","6","1,200","URL externes pour lesquelles aucune réponse n'a été renvoyée par le serveur. Cela est généralement dû à une URL malformée, un dépassement de délai de connexion, une erreur de connexion ou un refus de connexion. Affichez les URL qui renvoient à une absence de réponse en utilisant l'onglet « Liens entrants » de la fenêtre inférieure et exportez-les en bloc via Exportation en bloc > Codes de réponse > Externe > Liens entrants Pas de réponse.","Les URL malformées doivent être mises à jour avec le bon emplacement et les autres problèmes de connexion peuvent souvent être résolus en utilisant différents agents utilisateurs (Configuration > User-Agent), en ajustant la vitesse de crawl (Configuration > Vitesse) ou en désactivant les pare-feu et les proxies. Si elles peuvent être visualisées dans un navigateur, ce n'est souvent pas un problème.",""
"Hreflang: X-Default manquant","Avertissement","Faible","95","61,290","URL sans attribut hreflang x-default. Celui-ci est facultatif et ne constitue pas nécessairement un problème.","Envisagez d'ajouter une page de repli pour les langues sans correspondance, en particulier sur les sélecteurs de langue/pays ou les pages d'accueil à redirection automatique.",""
"H1: Doublon","Opportunité","Faible","16","10,320","Pages qui présentent des doublons de <h1>. Il est important de disposer de sous-titres principaux distincts, uniques et utiles. Si chaque page a le même <h1>, il peut être plus difficile pour les utilisateurs et les moteurs de recherche de distinguer une page d'une autre.","Mettez à jour les doublons de <h1> comme nécessaire, afin que les pages importantes contiennent un <h1> unique et descriptif pour les utilisateurs et les moteurs de recherche. S'il s'agit de doublons de page, corrigez-les en créant un lien vers une version unique et effectuez une redirection ou utilisez des versions canoniques le cas échéant.",""
"H1: Plus de 70 caractères","Opportunité","Faible","54","34,840","Pages dont les <h1> dépassent la longueur configurée. Il n'y a pas de limite de caractères stricte pour les <h1>, mais ils doivent être clairs et concis pour les utilisateurs et les sous-titres longs peuvent être moins utiles.","Rédigez des <h1> concis pour les utilisateurs, en incluant des mots-clés ciblés lorsque cela est naturel pour les utilisateurs, sans bourrage de mots-clés.",""
"Codes de réponse: Externes, erreur de serveur (5xx)","Avertissement","Faible","1","0,200","URL externes où le serveur n'a pas réussi à satisfaire une requête apparemment valide. Il peut s'agir de réponses courantes telles que 500 Internal Server Errors et 503 Service Unavailable. Affichez les URL liées à des erreurs en utilisant l'onglet « Liens entrants » de la fenêtre inférieure et exportez-les en bloc via Exportation en bloc > Codes de réponse > Externe > Liens entrants Erreur de serveur (5xx).","Toutes les URL doivent répondre par un statut 200 « OK » et cela peut indiquer un serveur qui a du mal à supporter la charge ou une mauvaise configuration qui nécessite une investigation. Si elles peuvent être visualisées dans un navigateur, ce n'est souvent pas un problème.",""
"Codes de réponse: Internes, erreur du client (4xx)","Problème","Élevée","3","0,600","URL internes avec une erreur côté client. Cela indique qu'un problème est survenu lors de la demande d'URL et peut inclure des réponses telles que 400 bad request, 403 Forbidden, 404 Page Not Found, 410 Removed, 429 Too Many Requests et plus encore. La réponse 404 « Page Not Found » est la plus courante et est souvent considérée comme un lien brisé. Affichez les URL liées à des erreurs en utilisant l'onglet « Liens entrants » de la fenêtre inférieure et exportez-les en bloc via Exportation en bloc > Codes de réponse > Interne > Liens entrants Erreur du client (4xx).","Tous les liens d'un site Web devraient idéalement aboutir à des URL 200 « OK ». Les erreurs telles que 404 ou 410 doivent être mises à jour à leur emplacement correct, supprimées et redirigées le cas échéant. Une erreur 403 Forbidden se produit lorsqu'un serveur Web refuse l'accès à la demande du SEO Spider et peut souvent être résolue en remplaçant le User-Agent par Chrome via Configuration > User-Agent et en recommençant le crawl.",""
"Sécurité: En-tête X-Frame-Options manquant","Avertissement","Faible","194","54,040","URL qui n'ont pas l'en-tête de réponse X-Frame-Options avec une valeur « DENY » ou « SAMEORIGIN ». Cela indique au navigateur de ne pas rendre une page dans un cadre, une iframe, une incorporation ou un objet. Cela permet d'éviter les attaques de type « détournement de clic », où votre contenu est affiché sur une autre page Web contrôlée par un attaquant.","Pour minimiser les problèmes de sécurité, l'en-tête de réponse X-Frame-Options doit être fourni avec une valeur « DENY » ou « SAMEORIGIN ».",""
"Images: Texte Alt manquant","Problème","Faible","118","88,060","Images qui disposent d'un attribut alt, mais sans texte alt. Cliquez sur l'adresse de l'image, puis sur l'onglet « Détails de l'image » dans la fenêtre inférieure pour voir quelles pages contiennent l'image, mais pas le texte alt. Les images doivent être accompagnées d'un texte alternatif descriptif de leur fonction, ce qui permet aux aveugles et aux malvoyants, ainsi qu'aux moteurs de recherche, de comprendre l'image et sa pertinence pour la page Web.","Incluez un texte alt descriptif pour les images afin d'aider les utilisateurs et les moteurs de recherche à mieux les comprendre. Dans la mesure du possible, les images décoratives doivent être fournies en utilisant des images d'arrière-plan CSS ou un texte alt nul (vide) (alt="""") afin qu'elles puissent être ignorées par les technologies d'assistance, telles que les lecteurs d'écran.",""
"Hreflang: Liens de retour manquants","Problème","Élevée","3","1,940","URL pour lesquelles il manque des liens de retour (ou « balises de retour » dans Google Search Console), à partir de leurs pages alternatives. Le hreflang est réciproque, de sorte que toutes les versions alternatives doivent confirmer la relation. Lorsque la page X établit un lien vers la page Y en utilisant le hreflang pour l'indiquer comme page alternative, la page Y doit avoir un lien de retour. L'absence de liens de retour signifie que les annotations hreflang peuvent être ignorées ou ne pas être interprétées correctement. Les URL de liens de retour manquants sont visibles dans le volet « Détails de l'URL » de la fenêtre inférieure avec un statut de confirmation « manquant ». Elles peuvent être exportées en bloc via l'exportation Rapports > Hreflang > Liens de retour manquants.","Veillez à ce que les pages alternatives comportent des annotations hreflang pour les URL qui n'ont pas de liens de retour. Cela confirmera qu'il s'agit d'un « ensemble » de pages alternatives.",""
"Codes de réponse: Internes, redirection (3xx)","Avertissement","Faible","7","1,400","URL internes qui redirigent vers une autre URL. Il s'agit notamment des redirections côté serveur, telles que les redirections 301 ou 302 (et d'autres). Affichez les URL liées à des redirections en utilisant l'onglet « Liens entrants » de la fenêtre inférieure et exportez-les en bloc via Exportation en bloc > Codes de réponse > Interne > Liens entrants Redirection (3xx).","Dans l'idéal, tous les liens internes devraient pointer vers des URL à résolution canonique et éviter les liens vers des URL qui redirigent. Cela réduit la latence des redirections pour les utilisateurs et améliore l'efficacité des moteurs de recherche.",""
"Sécurité: URL HTTP","Problème","Élevée","1","0,280","URL HTTP qui sont rencontrées dans le crawl. Tous les sites Web devraient être sécurisés par HTTPS aujourd'hui sur le Web. Non seulement c'est important pour la sécurité, mais c'est également attendu par les utilisateurs. Chrome et d'autres navigateurs affichent un message « Non sécurisé » pour toutes les URL HTTP ou qui présentent des problèmes de contenu mixte (lorsqu'ils chargent des ressources non sécurisées). Pour savoir comment ces URL ont été découvertes, consultez leurs « liens entrants » dans l'onglet de la fenêtre inférieure. Vous pouvez également exporter toutes les pages qui renvoient à des URL HTTP via Exportation en bloc > Sécurité > Liens entrants URL HTTP.","Toutes les URL doivent mener à des pages HTTPS sécurisées. Les pages doivent être fournies via HTTPS, tous les liens internes doivent être mis à jour vers des versions HTTPS et les URL HTTP doivent effectuer une redirection 301 vers des versions HTTPS. Les URL HTTP identifiées dans ce filtre qui redirigent déjà vers des versions HTTPS doivent être mises à jour pour renvoyer directement vers les versions HTTPS correctes.",""
"H2: Plus de 70 caractères","Opportunité","Faible","16","10,320","Pages dont les <h2> dépassent la limite configurée. Il n'y a pas de limite de caractères stricte pour les <h2>, mais ils doivent être clairs et concis pour les utilisateurs, et les sous-titres longs peuvent être moins utiles.","Rédigez des <h2> concis pour les utilisateurs, en incluant des mots-clés ciblés lorsque cela est naturel pour les utilisateurs, sans bourrage de mots-clés.",""
"Hreflang: Liens de retour non canoniques","Problème","Élevée","1","0,650","URL avec des liens de retour hreflang non canoniques. Les annotations hreflang ne doivent inclure que les versions canoniques des URL et ce filtre détecte les liens de retour qui renvoient à des URL qui ne sont pas la version canonique définie par la page. Les URL de retour non canoniques sont visibles dans le volet « Détails de l'URL » de la fenêtre inférieure, avec un statut de confirmation « Non canonique ». Elles peuvent être exportées en bloc via l'exportation Rapports > Hreflang > Liens de retour non canoniques.","Mettez à jour les annotations hreflang pour inclure uniquement les versions canoniques des URL. Elles ne doivent pas inclure les liens qui sont canonisés vers d'autres URL.",""
"Pagination: L'URL de pagination ne figure pas dans la balise d'ancrage","Problème","Élevée","2","1,290","Les URL contenues dans les deux attributs rel=""next"" et rel=""prev"" de la page, ou dans l'un d'entre eux, ne sont pas trouvées en tant que lien hypertexte dans un élément d'ancrage HTML sur la page elle-même. Les pages paginées doivent être liées à l'aide de liens normaux afin de permettre aux utilisateurs de cliquer et de naviguer vers la page suivante de la série. Ils permettent également à Google de passer d'une page à l'autre et au PageRank de circuler entre les pages de la série.","Assurez-vous que les URL paginées sont liées à l'intérieur de balises <a>. Cela leur permettra d'être crawlées et indexées, et de transmettre le PageRank à toutes les URL auxquelles elles sont liées.",""
"Title des pages: Moins de 30 caractères","Opportunité","Moyenne","8","5,160","Pages dont le titre est inférieur à la limite configurée. Ce n'est pas nécessairement un problème, mais cela indique qu'il y a peut-être de la place pour cibler des mots-clés supplémentaires ou pour communiquer vos arguments clés.","Envisagez de mettre à jour le titre de la page afin de profiter de l'espace restant pour inclure d'autres mots-clés cibles ou arguments clés.",""
"Images: Attributs de taille manquants","Opportunité","Faible","84","62,690","Éléments d'image dont les dimensions (attributs width et height) ne sont pas spécifiées dans le code HTML. Cela peut entraîner d'importants changements de mise en page lors du chargement du contenu, ce qui peut s'avérer frustrant pour les utilisateurs. C'est l'une des principales causes d'un score CLS (Cumulative Layout Shift) élevé.","Définissez la taille de toutes les images au format natif à l'aide des attributs width et height dans le code HTML. Le navigateur pourra ainsi calculer l'espace nécessaire pour chaque image avant son chargement, évitant ainsi des modifications importantes de la mise en page.",""
"Liens: Pages avec beaucoup de liens sortants externes","Avertissement","Faible","43","27,740","Pages qui comportent un nombre élevé de liens sortants externes suivis, selon les préférences « Nombre élevé de liens sortants externes » dans Configuration > Spider > Préférences. Les liens sortants externes sont des liens hypertextes vers un autre sous-domaine ou domaine (en fonction de votre configuration). Il peut s'agir d'un lien tout à fait valide, comme un lien vers une autre partie du même domaine racine ou un lien vers d'autres sites Web utiles. Les liens sortants externes suivis sont visibles dans l'onglet « Liens sortants », avec le filtre « Tous les types de liens » défini sur « Hyperlien » et la colonne « Suivre » sur « Vrai ».","Examinez les liens sortants externes suivis pour vous assurer qu'ils mènent à des sites Web crédibles, fiables et pertinents, utiles pour vos utilisateurs.",""
"Hreflang: Ne pas utiliser la version canonique","Problème","Élevée","1","0,650","URL n'utilisant pas l'URL canonique de la page dans sa propre annotation hreflang. L'annotation hreflang ne devrait inclure que les versions canoniques des URL.","Mettez à jour les annotations hreflang pour inclure uniquement les versions canoniques des URL. Elles ne doivent pas inclure les liens qui sont canonisés vers d'autres URL.",""
"Images: Environ 100 Ko","Opportunité","Moyenne","41","30,600","Images volumineuses dépassant un seuil de taille. La vitesse des pages est extrêmement importante pour les utilisateurs et pour le référencement. Souvent, les ressources volumineuses telles que les images sont l'un des problèmes les plus courants qui ralentissent les pages Web. Ce filtre sert simplement de règle générale pour aider à identifier les images dont la taille de fichier est relativement importante et qui peuvent prendre plus de temps à charger. Ces images doivent être optimisées, tout comme les opportunités identifiées dans l'onglet PageSpeed qui utilise l'API PSI et Lighthouse pour évaluer la vitesse. Cela peut aider à identifier les images dont la taille n'a pas été optimisée, qui se chargent hors de l'écran, qui ne sont pas optimisées, etc.","Les images non compressées alourdissent les pages d'octets inutiles. Veillez donc à ce que les images soient optimisées par la compression, qu'elles soient correctement mises à l'échelle et qu'elles utilisent le meilleur format d'image possible pour réduire la taille du fichier.",""
"Title des pages: Moins de 200 pixels","Opportunité","Moyenne","1","0,650","Pages dont le titre est beaucoup plus court que la limite de longueur en pixels estimée par Google. Ce n'est pas nécessairement un problème, mais cela indique qu'il y a peut-être de la place pour cibler des mots-clés supplémentaires ou pour communiquer vos arguments clés.","Envisagez de mettre à jour le titre de la page afin de profiter de l'espace restant pour inclure d'autres mots-clés cibles ou arguments clés.",""
"Sécurité: En-tête Content-Security-Policy manquant","Avertissement","Faible","349","97,210","URL qui n'ont pas l'en-tête de réponse Content-Security-Policy. Cet en-tête permet à un site Web de contrôler quelles ressources sont chargées pour une page. Cette politique peut aider à se protéger contre les attaques de type script intersites (XSS) qui exploitent la confiance du navigateur dans le contenu reçu du serveur. Le SEO Spider ne vérifie que l'existence de l'en-tête et n'interroge pas les politiques qu'il contient pour déterminer si elles sont bien configurées pour le site Web. Cette opération doit être effectuée manuellement.","Définissez un en-tête de réponse Content-Security-Policy strict pour toutes les pages afin d'atténuer les attaques par script intersites (XSS) et par injection de données.",""
"Images: Texte Alt de plus de 100 caractères","Opportunité","Faible","1","0,750","Images dont le texte alt dépasse un certain nombre de caractères. Ce n'est pas un problème à proprement parler, mais le texte alt des images doit être concis et descriptif. Il ne doit pas servir à remplir une page de mots-clés ou de paragraphes de texte.","Rédigez un texte alt concis et utile pour les utilisateurs et les moteurs de recherche, sans bourrage de mots clés.",""
"Contenu: Lisibilité très difficile","Opportunité","Faible","5","2,760","Le contenu de la page est très difficile à lire et plus adapté aux étudiants diplômés selon la formule du score de lisibilité de Flesch. Il contient des phrases longues avec des mots complexes qui sont généralement plus difficiles à lire et à comprendre.","Pensez à améliorer la lisibilité du contenu pour votre audience cible. Un contenu avec des phrases plus courtes et des mots moins complexes est souvent plus facile à lire et à comprendre.",""
"Codes de réponse: Externes, erreur du client (4xx)","Avertissement","Faible","5","1,000","URL externes avec une erreur côté client. Cela indique qu'un problème est survenu lors de la demande d'URL et peut inclure des réponses telles que 400 bad request, 403 Forbidden, 404 Page Not Found, 410 Removed, 429 Too Many Requests et plus encore. La réponse 404 « Page Not Found » est la plus courante et est souvent considérée comme un lien brisé. Affichez les URL liées à des erreurs en utilisant l'onglet « Liens entrants » de la fenêtre inférieure et exportez-les en bloc via Exportation en bloc > Codes de réponse > Externe > Liens entrants Erreur du client (4xx).","Tous les liens d'un site Web devraient idéalement aboutir à des URL 200 « OK ». Les erreurs telles que les liens brisés 404 doivent être mises à jour afin que les utilisateurs soient dirigés vers la bonne URL, ou supprimées. Une erreur 403 Forbidden se produit lorsqu'un serveur Web refuse l'accès à la demande du SEO Spider et peut souvent être résolue en remplaçant le User-Agent par Chrome via Configuration > User-Agent. S'ils peuvent être visualisés dans un navigateur, ce n'est souvent pas un problème.",""
"URL: Plus de 115 caractères","Opportunité","Faible","13","3,620","URL qui dépassent la longueur configurée. Ce n'est généralement pas un problème, mais des recherches ont montré que les utilisateurs préfèrent des chaînes d'URL plus courtes et concises.","Dans la mesure du possible, utilisez des URL logiques et concises pour les utilisateurs et les moteurs de recherche. Cependant, modifier une URL est une décision importante et, souvent, cela ne vaut pas la peine de le faire uniquement pour des raisons de référencement. Si des URL sont modifiées, des redirections 301 appropriées doivent être mises en œuvre.",""
"Meta description: Plus de 155 caractères","Opportunité","Faible","9","5,810","Pages dont les méta-descriptions dépassent la limite configurée. Les caractères au-delà de cette limite risquent d'être tronqués dans les résultats de recherche de Google.","Rédigez des méta-descriptions concises afin que les mots importants ne soient pas tronqués dans les résultats de recherche et ne soient pas visibles pour les utilisateurs.",""
"Versions canoniques: Canonisé","Avertissement","Élevée","12","6,630","Pages qui ont une version canonique avec une URL différente. L'URL est « canonisée » vers un autre emplacement. Cela signifie qu'il est demandé aux moteurs de recherche de ne pas indexer la page, et que les propriétés d'indexation et de liaison doivent être consolidées vers l'URL de la version canonique.","Ces URL doivent être examinées attentivement pour s'assurer que les signaux d'indexation et de liaison sont consolidés vers la bonne URL. Dans un monde idéal, un site Web n'aurait pas besoin de canoniser des URL, car seules des versions canoniques seraient liées en interne sur un site Web, mais elles sont souvent nécessaires en raison de diverses circonstances indépendantes de notre volonté, et pour éviter les doublons de contenu. Mettez à jour les liens internes vers les versions canoniques des URL lorsque cela est possible.",""
"Versions canoniques: Manquant","Avertissement","Moyenne","26","14,360","Les pages qui ne disposent d'aucune URL canonique présente, soit sous forme d'élément de lien, soit via l'en-tête HTTP. Si une page n'indique pas d'URL canonique, Google identifiera ce qu'il pense être la meilleure version ou URL. Cela peut entraîner une imprévisibilité du classement lorsque plusieurs versions sont découvertes, et c'est pourquoi toutes les URL devraient généralement indiquer une version canonique.","Indiquez une URL canonique pour chaque page afin d'éviter toute imprévisibilité potentielle du classement si plusieurs versions de la même page sont découvertes sur des URL différentes.",""
"H1: Manquant","Problème","Moyenne","4","2,580","Pages dont le <h1> est manquant, le contenu est vide ou qui comportent un espace blanc. Les <h1> doivent décrire le titre principal et l'objectif de la page, et sont considérés comme l'un des signaux de classement les plus forts sur la page.","Veillez à ce que les pages importantes comportent des sous-titres concis, descriptifs et uniques afin d'aider les utilisateurs et de permettre aux moteurs de recherche de noter et de classer la page pour les requêtes de recherche correspondantes.",""
"Liens: Liens sortants internes sans texte d'ancrage","Opportunité","Faible","2","1,290","Pages qui ont des liens internes sans texte d'ancrage ou des images qui sont hyperliées sans texte Alt. Le texte d'ancrage est le texte et les mots visibles utilisés dans les liens hypertextes qui fournissent aux utilisateurs et aux moteurs de recherche un contexte sur le contenu de la page cible. Les liens sortants internes sans texte d'ancrage peuvent être vus dans l'onglet « Liens sortants », avec le filtre « Tous les types de liens » défini sur « Hyperlien », où la colonne « Texte d'ancrage » est vide, ou, s'il s'agit d'une image, la colonne « Alt Text » est également vide. Exportez en bloc via Exportation en bloc > Liens > Liens sortants internes sans texte d'ancrage.","Examinez les liens sortants dont le texte d'ancrage est manquant et, le cas échéant, ajoutez un texte d'ancrage utile et descriptif pour aider les utilisateurs et les moteurs de recherche.",""
"Versions canoniques: Version canonique non indexable","Problème","Élevée","1","0,550","Pages dont l'URL canonique est non indexable. Il s'agit notamment des versions canoniques qui sont bloquées par robots.txt, pas de réponse, redirection (3XX), erreur de client (4XX), erreur du serveur (5XX), sont « noindex » ou « canonisées » elles-mêmes. Cela signifie que les moteurs de recherche reçoivent l'ordre de consolider les signaux d'indexation et de liaison vers une page non indexable, ce qui les conduit souvent à ignorer la version canonique, mais peut également conduire à une imprévisibilité dans l'indexation et le classement. Exportez les pages, leurs versions canoniques et leurs codes de statut via Rapports > Versions canoniques > Versions canoniques non indexables.","Veillez à ce que les URL canoniques mènent à des pages indexables précises afin d'éviter qu'elles soient ignorées par les moteurs de recherche, et que l'indexation ou le classement soient imprévisibles.",""
"Title des pages: Plus de 60 caractères","Opportunité","Moyenne","72","46,450","Pages dont le titre dépasse la limite configurée. Les caractères au-delà de cette limite risquent d'être tronqués dans les résultats de recherche de Google et d'avoir moins de poids dans les résultats.","Rédigez des titres de page concis pour éviter que des mots importants ne soient tronqués dans les résultats de recherche, qu'ils ne soient pas visibles pour les utilisateurs et qu'ils aient éventuellement moins de poids dans les résultats.",""
"URL: Paramètres","Avertissement","Faible","10","2,790","URL qui incluent des paramètres tels que « ? » ou « & ». Ce n'est pas un problème pour le crawl par Google ou d'autres moteurs de recherche, sauf à grande échelle, mais il est recommandé de limiter le nombre de paramètres dans une URL, ce qui peut être compliqué pour les utilisateurs et peut être un signe d'URL à faible valeur ajoutée.","Dans la mesure du possible, utilisez une structure d'URL statique sans paramètres pour des URL indexables clés. Cependant, modifier une URL est une décision importante et, souvent, cela ne vaut pas la peine de le faire uniquement pour des raisons de référencement. Si des URL sont modifiées, des redirections 301 appropriées doivent être mises en œuvre.",""
"Contenu: Pages à faible contenu","Opportunité","Moyenne","21","11,600","Pages dont le nombre de mots est inférieur à la valeur par défaut de 200 mots. Le nombre de mots est basé sur les paramètres de la zone de contenu utilisée dans l'analyse, qui peuvent être configurés dans Configuration > Contenu > Domaine. En réalité, il n'y a pas de nombre de mots minimum pour les pages, mais les moteurs de recherche ont besoin d'un texte descriptif pour comprendre l'objectif d'une page. Ce filtre ne doit être utilisé qu'à titre indicatif pour aider à identifier les pages qui pourraient être améliorées par l'ajout d'un contenu plus descriptif dans le contexte du site Web et de l'objectif de la page. Certains sites Web, tels que les sites de commerce électronique, auront naturellement un nombre de mots inférieur, ce qui peut être acceptable si les détails d'un produit peuvent être communiqués efficacement.","Pensez à inclure un contenu descriptif supplémentaire pour aider l'utilisateur et les moteurs de recherche à mieux comprendre la page.",""
"H2: Doublon","Opportunité","Faible","2","1,290","Pages qui présentent des doublons de <h2>. Il est important de disposer de pages distinctes, uniques et utiles. Si chaque page a le même <h2>, il peut être plus difficile pour les utilisateurs et les moteurs de recherche de distinguer une page d'une autre.","Mettez à jour les doublons de <h2> comme nécessaire, afin que les pages importantes contiennent un <h2> unique et descriptif pour les utilisateurs et les moteurs de recherche. S'il s'agit de doublons de page, corrigez-les en créant un lien vers une version unique et effectuez une redirection ou utilisez des versions canoniques le cas échéant.",""
"Sécurité: En-tête X-Content-Type-Options manquant","Avertissement","Faible","194","54,040","URL qui n'ont pas l'en-tête de réponse « X-Content-Type-Options » avec une valeur « nosniff ». En l'absence d'un type MIME, les navigateurs peuvent « renifler » pour deviner le type de contenu et l'interpréter correctement pour les utilisateurs. Cependant, cela peut être exploité par des attaquants qui peuvent essayer de charger du code malveillant, tel que JavaScript, par une image qu'ils ont compromise.","Pour minimiser les problèmes de sécurité, l'en-tête de réponse X-Content-Type-Options doit être fourni et avec la valeur « nosniff » définie. Cela indique aux navigateurs de se fier uniquement à l'en-tête Content-Type et de bloquer tout ce qui ne correspond pas exactement. Cela signifie également que le type de contenu définii doit être précis.",""
"Meta description: Manquant","Opportunité","Faible","108","69,680","Pages dont la méta-description est manquante, dont le contenu est vide ou qui comporte un espace blanc. Cela constitue une occasion manquée de communiquer les avantages de votre produit ou de votre service, et d'influencer les taux de clics pour les URL importantes.","Il est important de rédiger des métadescriptions uniques et descriptives sur les pages clés afin de communiquer l'objectif de la page aux utilisateurs et de les inciter à cliquer sur votre résultat plutôt que sur celui de la concurrence. Cela peut également signifier que Google utilise cette description pour les extraits dans les résultats de recherche pour certaines requêtes, plutôt que de créer la sienne sur la base du contenu de la page.",""
"Sécurité: En-tête Secure Referrer-Policy manquant","Avertissement","Faible","349","97,210","URL qui n'ont pas les politiques « no-referrer-when-downgrade », « strict-origin-when-cross-origin », « no-referrer » ou « strict-origin » dans l'en-tête Referrer-Policy. Lorsque vous utilisez le protocole HTTPS, il est important que les URL ne fuient pas dans les requêtes non HTTPS. Cela peut exposer les utilisateurs à des attaques de type « man in the middle », car n'importe qui sur le réseau peut les voir.","Envisagez de définir une politique de référent de type « strict-origin-when-cross-origin ». Cela permet de conserver une grande partie de l'utilité du référent, tout en atténuant le risque de fuite de données entre les origines.",""
"Title des pages: Plus de 561 pixels","Opportunité","Moyenne","72","46,450","Pages dont le titre dépasse la limite de longueur en pixels estimée par Google pour les titres dans les résultats de recherche. La longueur d'extrait de Google est en fait basée sur des limites en pixels, plutôt que sur une longueur en caractères. Le SEO Spider tente de faire correspondre les derniers points de troncature en pixels dans les SERP, mais il s'agit d'une approximation et Google les ajuste fréquemment.","Rédigez des titres de page concis pour éviter que des mots importants ne soient tronqués dans les résultats de recherche, qu'ils ne soient pas visibles pour les utilisateurs et qu'ils aient éventuellement moins de poids dans les résultats.",""
"URL: Chemin répétitif","Avertissement","Faible","1","0,280","URL qui comportent des répétitions de chemins ou de sous-dossiers dans la chaîne (exemple.com/page1/page/page1/page2). Dans certains cas, cela peut être légitime et logique, mais cela indique aussi souvent une mauvaise structure d'URL et des améliorations possibles. Cela peut également aider à identifier les problèmes de liens relatifs incorrects, provoquant des URL infinies.","Bien qu'elles ne constituent pas toujours un problème, les répétitions de chemins ne sont pas particulièrement conviviales ou peuvent causer des problèmes d'indexation si elles sont dues à un lien relatif incorrect. Idéalement, toute URL devrait être aussi concise que possible. Cependant, modifier une URL est une décision importante et, souvent, cela ne vaut pas la peine de le faire uniquement pour des raisons de référencement. Si des URL sont modifiées, des redirections 301 appropriées doivent être mises en œuvre.",""
"H2: Multiple","Avertissement","Faible","49","31,610","Pages comportant plusieurs <h2>. Ce n'est pas un problème, car les normes HTML autorisent plusieurs <h2> lorsqu'ils sont utilisés dans une structure de sous-titres hiérarchique logique. Cependant, ce filtre peut vous aider à effectuer un examen rapide pour vérifier s'ils sont utilisés de manière appropriée.","Veillez à ce que les <h2> soient utilisés dans une structure de sous-titres hiérarchique logique et mettez-les à jour, le cas échéant, en utilisant toute la gamme de sous-titres entre h3 et h6 pour les sous-titres supplémentaires.",""
"URL: Traits de soulignement","Opportunité","Faible","10","2,790","URL comportant des caractères de soulignement, qui ne sont pas toujours considérés comme des séparateurs de mots par les moteurs de recherche.","Idéalement, des traits d'union devraient être utilisés comme séparateurs de mots, plutôt que des traits de soulignement. Cependant, modifier une URL est une décision importante et, souvent, cela ne vaut pas la peine de le faire uniquement pour des raisons de référencement. Si des URL sont modifiées, des redirections 301 appropriées doivent être mises en œuvre.",""
"Meta description: Plus de 985 pixels","Opportunité","Faible","6","3,870","Pages dont la méta-description dépasse la limite de longueur en pixels estimée par Google pour les extraits. La longueur d'extrait de Google est en fait basée sur des limites en pixels, plutôt que sur une longueur en caractères. Le SEO Spider tente de faire correspondre les derniers points de troncature en pixels dans les SERP, mais il s'agit d'une approximation et Google les ajuste fréquemment.","Rédigez des méta-descriptions concises afin que des mots importants ne soient pas tronqués dans les résultats de recherche et ne soient pas visibles pour les utilisateurs.",""
"Liens: Texte d'ancrage non descriptif dans les liens sortants internes","Opportunité","Faible","4","2,580","Pages comportant des liens sortants internes dont le texte d'ancrage n'est pas descriptif, comme ""cliquez ici"" ou ""en savoir plus"", selon les préférences définies dans ""Configuration > SEO Spider > Préférences"". Le texte d'ancrage correspond au texte et aux mots visibles utilisés dans les hyperliens afin d'offrir aux utilisateurs et aux moteurs de recherche des informations sur le contenu de la page cible. Les liens sortants internes avec un texte d'ancrage non descriptif peuvent être consultés dans l'onglet ""Liens sortants"", avec le filtre ""Tous les types de liens"" défini sur ""Hyperliens"". Il s'agit des liens dont la colonne ""Texte d'ancrage"" contient des mots tels que ""cliquez ici"" ou ""en savoir plus"". Pour effectuer une exportation groupée, accédez à Exportation en bloc > Liens > Texte d'ancrage non descriptif dans les liens sortants internes.","Examinez le texte d'ancrage non descriptif des liens sortants et, le cas échéant, mettez-le à jour pour inclure un texte d'ancrage utile et descriptif afin de fournir un contexte aux utilisateurs et aux moteurs de recherche.",""
