"Adresse","Type de contenu","Code HTTP","Statut","Version HTTP","Indexabilité","Statut d'indexabilité","Élément de lien en version canonique 1","Meta Robots 1","Balise X-Robots 1"
"https://www.oppy.ai/","text/html; charset=UTF-8","200","OK","1.1","Non indexable","Canonisé","https://opportunity-crm.com/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/includes/assets/js/kt-tabs.min.js?ver=3.5.11","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/themes/kadence/assets/css/header.min.css?ver=1.2.26","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/includes/assets/js/popper.min.js?ver=3.5.11","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/uagb-button-child.min.js?ver=2.19.10","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/slick.min.js?ver=2.19.10","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/includes/assets/js/kb-tippy.min.js?ver=3.5.11","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/themes/kadence/assets/css/footer.min.css?ver=1.2.26","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/themes/kadence-child/style.css?ver=bab062fd42cb01a60133b38393d88267","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/themes/kadence/style.css?ver=bab062fd42cb01a60133b38393d88267","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/contact-form-7/includes/js/index.js?ver=6.1","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/wp-statistics/assets/js/tracker.js?ver=14.15.1","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/themes/kadence/assets/js/navigation.min.js?ver=1.2.26","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/marketing/","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/agent-ia-vocal","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/sms-email","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/wp-content/themes/kadence-child/css/audio-bar.css?ver=1.0.0","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/relation-clients","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/allmysms","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/wp-content/plugins/contact-form-7/modules/recaptcha/index.js?ver=6.1","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/uploads/elementor/css/post-369.css?ver=1773673874","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/themes/kadence-child/css/block-call-to-action.css?ver=1.0.0","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/spectra-block-positioning.min.css?ver=2.19.10","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/dist/style-blocks-rowlayout.css?ver=3.5.11","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/0/uag-js-8.js?ver=1774194342","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/themes/kadence/assets/css/content.min.css?ver=1.2.26","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/dist/style-blocks-advancedbtn.css?ver=3.5.11","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/contact/","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/notre-plateforme","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/rcs/","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/rcs-message","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/wp-content/themes/kadence/assets/css/global.min.css?ver=1.2.26","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/isotope.min.js?ver=2.19.10","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/themes/kadence-child/js/cookie-banner.js?ver=1742804641","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/contact","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/wp-content/themes/kadence-child/js/contact-form-country.js?ver=1743764502","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/gutenberg/build/block-library/style.css?ver=21.0.0","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/qui-sommes-nous","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/gestion-des-cookies/","text/html; charset=UTF-8","200","OK","1.1","Non indexable","Canonisé","https://oppycx.com/gestion-des-cookies/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.oppy.ai/wp-content/themes/kadence-child/js/custom-header.js","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/imagesloaded.min.js?ver=2.19.10","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/slick.min.css?ver=2.19.10","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/dist/style-blocks-infobox.css?ver=3.5.11","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/image-gallery.min.js?ver=2.19.10","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/spectra-block-positioning.min.js?ver=2.19.10","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/swiper-bundle.min.js?ver=2.19.10","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/rcs-cas-usage","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/retention-et-paiement","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=6.1","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.35.6","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/dist/style-blocks-tabs.css?ver=3.5.11","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/dist/style-blocks-image.css?ver=3.5.11","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/dist/style-blocks-column.css?ver=3.5.11","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/themes/kadence-child/images/logo-opportunity-rvb.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/videobot","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/0/uag-css-8.css?ver=1774194342","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/module-rendez-vous","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/acquisition","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/relation-clients/","text/html; charset=UTF-8","200","OK","1.1","Non indexable","Canonisé","https://oppycx.com/relation-clients/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.oppy.ai/blog","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/retention-et-paiement/","text/html; charset=UTF-8","200","OK","1.1","Non indexable","Canonisé","https://oppycx.com/retention-et-paiement/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.oppy.ai/wp-content/themes/kadence-child/css/cookie-banner.css?ver=1742804641","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/signature-vocale","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/wp-content/themes/kadence-child/js/audio-bar.js?ver=1.0.0","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/plugins/gutenberg/build/i18n/index.min.js?ver=bd5a2533e717a1043151","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/touch-and-pay","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/wp-content/plugins/gutenberg/build/hooks/index.min.js?ver=84e753e2b66eb7028d38","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/mentions-legales/","text/html; charset=UTF-8","200","OK","1.1","Non indexable","Canonisé","https://oppy.ai/mentions-legales/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/swiper-bundle.min.css?ver=2.19.10","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/contactez-nous","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/0/uag-css-80.css?ver=1774194372","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/uploads/2024/12/image-17.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/uploads/2024/12/image-19.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/mentions-legales/allmysms","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/0/uag-css-328.css?ver=1774194371","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/retention-et-paiement/allmysms","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/0/uag-js-328.js?ver=1774194371","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/politique-de-confidentialite/","text/html; charset=UTF-8","200","OK","1.1","Non indexable","Canonisé","https://oppycx.fr/politique-de-confidentialite/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.oppy.ai/wp-content/uploads/2024/12/image-16.png","image/png","200","OK","1.1","Indexable","","","",""
"https://oppy.ai/mentions-legales/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://oppy.ai/mentions-legales/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.oppy.ai/signature-vocale/","text/html; charset=UTF-8","200","OK","1.1","Non indexable","Canonisé","https://oppycx.com/signature-vocale/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/0/uag-css-82.css?ver=1774194373","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/uploads/2024/12/image-18.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/politique-de-confidentialite/allmysms","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/wp-content/uploads/2024/12/image-20.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/uploads/2024/12/image-21-1024x576.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/0/uag-js-324.js?ver=1774194371","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/0/uag-css-324.css?ver=1774194371","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/uploads/2024/12/image-40-e1733998247615.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/uploads/2024/12/image-35-e1733992939984.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/uploads/2024/12/image-36-e1733993135819.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/uploads/2024/12/image-39-e1733997617404.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/relation-clients/allmysms","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/wp-content/uploads/2024/12/image-37-e1733993322768.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/uploads/2024/12/relation.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/quality-monitoring/","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/blog/","text/html; charset=UTF-8","200","OK","1.1","Non indexable","Canonisé","https://www.opportunity-crm.com/blog/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.oppy.ai/touch-and-pay/","text/html; charset=UTF-8","200","OK","1.1","Non indexable","Canonisé","https://oppycx.com/touch-and-pay/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.oppy.ai/acquisition/","text/html; charset=UTF-8","200","OK","1.1","Non indexable","Canonisé","https://opportunity-crm.com/acquisition/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/dist/style-blocks-iconlist.css?ver=3.5.11","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/0/uag-css-84.css?ver=1774194369","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/module-rendez-vous/","text/html; charset=UTF-8","200","OK","1.1","Non indexable","Canonisé","https://oppycx.com/module-rendez-vous/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.oppy.ai/rcs-cas-usage/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.oppy.ai/rcs-cas-usage/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.oppy.ai/gestion-des-cookies/allmysms","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.oppy.ai/videobot/","text/html; charset=UTF-8","200","OK","1.1","Non indexable","Canonisé","https://oppycx.com/videobot/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.oppy.ai/qui-sommes-nous/","text/html; charset=UTF-8","200","OK","1.1","Non indexable","Canonisé","https://www.oppycx.com/qui-sommes-nous/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.oppy.ai/rcs-acquisition/","text/html; charset=UTF-8","200","OK","1.1","Non indexable","Canonisé","https://opportunity-crm.com/rcs-acquisition/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.oppy.ai/rcs-message/","text/html; charset=UTF-8","200","OK","1.1","Non indexable","Canonisé","https://opportunity-crm.com/rcs-message/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.oppy.ai/contactez-nous/","text/html; charset=UTF-8","200","OK","1.1","Non indexable","Canonisé","https://opportunity-crm.com/contactez-nous/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.oppy.ai/notre-plateforme/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.oppy.ai/notre-plateforme/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/dist/style-blocks-accordion.css?ver=3.5.11","text/css","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/0/uag-js-337.js?ver=1774194376","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.oppy.ai/allmysms/","text/html; charset=UTF-8","200","OK","1.1","Non indexable","Canonisé","https://oppycx.fr/allmysms/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/0/uag-js-322.js?ver=1774194377","application/javascript","200","OK","1.1","Indexable","","","",""
